id,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_acceso_teconologia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_acceso_velocidad,Banda ancha fija,Dial up,Total,Mbps (Media de bajada)
20232Tucumán,2023,2,Tucumán,60.75,15.05,50019.0,20012.0,188986.0,4060.0,525.0,263602.0,39.0,1091.0,21163.0,27206.0,25910.0,1661.0,185887.0,645.0,263602.0,263573.0,29.0,263602.0,96.69
20231Buenos Aires,2023,1,Buenos Aires,79.0,26.81,304583.0,2761043.0,1551074.0,132458.0,71770.0,4820928.0,28615.0,25137.0,249864.0,264388.0,241923.0,104495.0,3810940.0,95566.0,4820928.0,4814729.0,6199.0,4820928.0,116.18
20231Capital Federal,2023,1,Capital Federal,122.59,50.23,132149.0,1223930.0,156222.0,4605.0,31823.0,1548729.0,516.0,4500.0,28668.0,60061.0,34974.0,7859.0,1305284.0,106867.0,1548729.0,1546584.0,2145.0,1548729.0,188.65
20231Catamarca,2023,1,Catamarca,66.17,16.83,6980.0,10655.0,50230.0,1384.0,2243.0,71492.0,71.0,221.0,2192.0,4352.0,3794.0,2607.0,55944.0,2311.0,71492.0,71491.0,1.0,71492.0,87.41
20231Chaco,2023,1,Chaco,43.15,11.53,21243.0,60727.0,49756.0,8142.0,2574.0,142442.0,236.0,544.0,15113.0,15190.0,7729.0,3020.0,96663.0,3947.0,142442.0,142437.0,5.0,142442.0,104.33
20231Chubut,2023,1,Chubut,85.89,26.32,45448.0,73525.0,9815.0,30521.0,10744.0,170053.0,109.0,1598.0,45794.0,30947.0,25072.0,17700.0,28259.0,20574.0,170053.0,169149.0,904.0,170053.0,18.36
20231Córdoba,2023,1,Córdoba,88.84,27.2,136976.0,455139.0,386297.0,61066.0,10494.0,1049972.0,99.0,8844.0,131774.0,103063.0,57176.0,24960.0,690566.0,33490.0,1049972.0,1049904.0,68.0,1049972.0,109.57
20231Corrientes,2023,1,Corrientes,52.05,13.71,29577.0,81116.0,30016.0,11071.0,5240.0,157020.0,67.0,3074.0,22517.0,23420.0,6349.0,4601.0,88008.0,8984.0,157020.0,157016.0,4.0,157020.0,94.8
20231Entre Ríos,2023,1,Entre Ríos,64.79,19.37,51084.0,141699.0,44508.0,26415.0,11172.0,274878.0,107.0,4525.0,41215.0,51664.0,20667.0,22680.0,134020.0,0.0,274878.0,274856.0,22.0,274878.0,86.71
20231Formosa,2023,1,Formosa,38.79,9.87,12502.0,17421.0,13345.0,17490.0,227.0,60985.0,84.0,192.0,22016.0,11922.0,6229.0,273.0,19567.0,702.0,60985.0,60985.0,0.0,60985.0,73.96
20231Jujuy,2023,1,Jujuy,58.2,14.88,15306.0,51082.0,46271.0,4067.0,1255.0,117981.0,58.0,1598.0,16842.0,12856.0,29386.0,306.0,54859.0,2076.0,117981.0,117981.0,0.0,117981.0,42.75
20231La Pampa,2023,1,La Pampa,96.55,31.81,7049.0,59944.0,28126.0,20103.0,1282.0,116504.0,68.0,1399.0,50313.0,11510.0,10525.0,4423.0,21308.0,16958.0,116504.0,116333.0,171.0,116504.0,20.09
20231La Rioja,2023,1,La Rioja,79.74,21.23,4652.0,54604.0,20722.0,6395.0,32.0,86405.0,18.0,502.0,1892.0,2470.0,24551.0,4949.0,52023.0,0.0,86405.0,86401.0,4.0,86405.0,63.13
20231Mendoza,2023,1,Mendoza,51.4,14.34,37646.0,73678.0,152534.0,27592.0,1569.0,293019.0,103.0,2945.0,32767.0,20813.0,30657.0,15046.0,169502.0,21186.0,293019.0,292242.0,777.0,293019.0,41.45
20231Misiones,2023,1,Misiones,53.97,14.7,30455.0,82834.0,56619.0,12896.0,7881.0,190685.0,51.0,3448.0,34762.0,21817.0,11881.0,3881.0,106601.0,8244.0,190685.0,190685.0,0.0,190685.0,89.81
