Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2018,2,Jujuy,11.937926446982159,46.68113451464351
2018,2,La Pampa,23.44421377878627,71.15324943975176
2018,2,La Rioja,5.973264644490829,22.43800476924134
2018,2,Mendoza,4.5773548633561045,16.401845773414387
2018,2,Misiones,10.954749966923083,40.21693783896537
2018,2,Neuquén,12.193577846744422,40.960685520561974
2018,2,Río Negro,12.048956142882668,39.1706283957678
2018,2,Salta,12.186565211090612,50.31448600217298
2018,2,San Juan,6.274238698645383,24.62993421052632
2018,2,San Luis,11.562023450044942,40.39760337052484
2018,2,Santa Cruz,15.378316740620289,51.67509542909182
2018,2,Santa Fe,17.687947265947226,56.24984004299644
2018,2,Santiago Del Estero,10.067149844737527,40.562925055551815
2018,2,Tierra Del Fuego,24.966584038106348,84.20006556839603
2018,2,Tucumán,7.201419747707976,29.070298550844992
2018,1,Buenos Aires,15.487430241840732,47.827203389418194
2018,1,Capital Federal,24.18035580063295,57.64465074625473
2018,1,Catamarca,21.873279726329034,85.98603047019158
